Pipistrellus pygmaeus,0.661,0.67,0.9725,0.9778,,ad60281d-9d00-42f4-954f-8d024f90b17f
Pipistrellus pygmaeus,0.65,0.654,1.0695,1.0766,,f8459d6f-45d1-4c92-9c29-688d5a75e0bc
Pipistrellus pygmaeus,0.659,0.662,1.8305,1.8385,,5234af49-68e6-4c0d-b6f1-8e177539459f
Pipistrellus pygmaeus,0.721,0.726,2.1055,2.1137,,a11c898d-99a1-462b-b1b3-7e9349d994d8
Pipistrellus pygmaeus,0.645,0.65,2.6595,2.6666,,9632aad2-bd7d-45dd-8e05-082c079905d4
Pipistrellus pygmaeus,0.724,0.726,2.7305,2.7365,,70e3abad-80aa-464a-86d2-89bea68c4fc1
Pipistrellus pygmaeus,0.619,0.623,2.8285,2.8352,,60f5da59-e91f-4f9f-ba77-b30ffc1b3bae
Pipistrellus pygmaeus,0.709,0.713,0.0715,0.076,,e4a34f76-e893-407b-a76b-75e2458b5200
Pipistrellus pygmaeus,0.807,0.809,0.3095,0.3145,,1f4f6fa5-599a-4fe6-9114-dd37871ead7e
Pipistrellus pygmaeus,0.791,0.796,0.3915,0.3957,,5723d9e0-64a3-443f-a00e-3c571970ee10
Pipistrellus pygmaeus,0.836,0.837,0.4645,0.4685,,98aea56b-5483-40ec-af16-2fdfaf60fb36
Pipistrellus pygmaeus,0.791,0.799,0.5455,0.5496,,332500f3-a389-4d6a-a9c9-bc9272f91ca9
Pipistrellus pygmaeus,0.816,0.82,0.6285,0.6326,,d01df858-1722-4076-a860-be9870d8ea1d
Pipistrellus pygmaeus,0.83,0.833,0.6885,0.6928,,1741d810-eab6-4374-85ff-adef74aa3180
Pipistrellus pygmaeus,0.84,0.845,0.7605,0.7648,,ebf4ced3-3da0-43d0-9342-1bb5dfa635b9
Pipistrellus pygmaeus,0.812,0.815,0.8235,0.8287,,d25a7c36-2e18-4832-bf7d-1d0354e26eff
Pipistrellus pygmaeus,0.826,0.831,0.8965,0.9004,,bac2521d-7177-44cc-9fad-0d1cc14b50e2
Pipistrellus pygmaeus,0.788,0.793,0.9845,0.9888,,800f99fc-23ca-49b3-8775-d25e6fd8af53
Pipistrellus pygmaeus,0.789,0.795,1.0915,1.0961,,f3f68747-0352-4a38-a997-310eeba3be94
Pipistrellus pygmaeus,0.789,0.793,1.2475,1.2526,,1e595258-561f-4413-bf26-ddf1eab9e029
Pipistrellus pygmaeus,0.831,0.833,1.3295,1.333,,80df0edc-10d2-4639-afea-507974316548
Pipistrellus pygmaeus,0.813,0.817,1.4065,1.4105,,a3f93e63-0028-4a57-9320-1ccb20a805da
Pipistrellus pygmaeus,0.839,0.842,1.4645,1.47,,10aea080-cacb-4100-9965-100421ddf880
Pipistrellus pygmaeus,0.817,0.82,1.5525,1.5576,,7eaf29b5-7280-4a65-8618-fb2898f40483
Pipistrellus pygmaeus,0.853,0.854,1.6185,1.623,,0bbbc8e9-8637-41a8-b826-15a5ca940761
Pipistrellus pygmaeus,0.812,0.816,1.7075,1.7132,,c1919322-b30e-48dc-a8ba-39ba261c4828
Pipistrellus pygmaeus,0.797,0.799,1.7825,1.7888,,037f9fc5-3d6e-4796-807e-b22ed6df9d6d
Pipistrellus pygmaeus,0.849,0.851,1.8535,1.859,,f507afae-96d2-43fa-921a-8e3d9c35b717
