Pipistrellus pygmaeus,0.82,0.823,2.2515,2.2584,,765046d8-9d11-4262-8bdc-45341d0f2c43
Pipistrellus pygmaeus,0.772,0.778,2.3375,2.3447,,5c0ee8a8-cdd1-4190-8834-5919ea268008
Pipistrellus pygmaeus,0.827,0.829,2.4325,2.4389,,4193a8a8-0c7b-4385-8a18-cf44bdc17b40
Pipistrellus pygmaeus,0.812,0.817,2.5935,2.6,,ceccee0f-9837-4082-91c5-de0aeeac56fa
Pipistrellus pygmaeus,0.812,0.814,2.6775,2.6839,,eea4e225-6cf6-474d-a6ef-dd1fc1453e1f
Pipistrellus pygmaeus,0.826,0.828,2.7665,2.7725,,b3574ac9-f5b3-4b09-b071-cf9bd583eee7
Pipistrellus pygmaeus,0.823,0.826,2.9305,2.9354,,d9bad721-b170-484a-8dc4-fd81fa536b50
Pipistrellus pipistrellus,0.677,0.686,0.3005,0.3093,,59eca5dd-93e7-4fac-8f91-07fb5ca4b1b6
Pipistrellus pipistrellus,0.71,0.747,0.4475,0.455,,618fc087-99ba-4c93-bf46-6529791b41c5
Pipistrellus pipistrellus,0.624,0.637,0.5425,0.5514,,2c7ca73c-a768-4779-abf6-84cd18660663
Pipistrellus pipistrellus,0.709,0.727,0.7805,0.7881,,3473794c-d612-45f3-bba0-ebf30ac937b6
Pipistrellus pipistrellus,0.72,0.729,0.9445,0.9527,,68c3a98f-49a6-4314-adcd-7b2a543a3513
Pipistrellus pipistrellus,0.684,0.722,1.1115,1.1193,,fcee37a3-28b2-41d5-8a3f-29f4294fa739
Pipistrellus pipistrellus,0.736,0.751,1.2085,1.2168,,6e522354-b073-4318-abc2-28184bb65ece
Pipistrellus pipistrellus,0.718,0.722,1.3725,1.3799,,efc6089d-ba77-465e-bc1c-6124e943a598
Pipistrellus pipistrellus,0.715,0.737,1.4675,1.4759,,a1060a8c-8a45-4a1f-bc16-b95cf7d2da5d
Pipistrellus pipistrellus,0.739,0.751,1.6245,1.6333,,6b048565-d5fa-4876-aa53-597aeaca5337
Pipistrellus pipistrellus,0.745,0.761,1.7225,1.7322,,cccae56f-773a-4e44-a0b4-d279d87dde14
Pipistrellus pipistrellus,0.673,0.689,1.8895,1.8997,,374b2692-d44d-4f43-aca5-88474bd121c2
Pipistrellus pipistrellus,0.749,0.792,1.9705,1.9771,,d1dc88fe-d426-4f54-b41b-906ddd34ea1c
Pipistrellus pipistrellus,0.732,0.758,2.0345,2.0404,,90510d35-e33b-4062-8202-2f80ff6b90d6
Pipistrellus pipistrellus,0.702,0.717,2.0865,2.0917,,abd3c501-9abf-445c-96e9-e84d114ffb20
Pipistrellus pipistrellus,0.727,0.735,2.1295,2.1347,,1bfe1cdd-3d6b-4304-9d3a-8ed526f6de0f
Pipistrellus pipistrellus,0.757,0.768,2.4345,2.4405,,8b96c82b-8c3f-4ff1-a329-fb8f1b9f7b71
Pipistrellus pipistrellus,0.784,0.815,2.5155,2.5223,,e8529716-0002-49d8-b2a6-51c4067eadb9
Pipistrellus pipistrellus,0.797,0.822,2.5965,2.6039,,c9cc5667-09e0-4a06-8e01-36d0e88c1f3f
Pipistrellus pipistrellus,0.776,0.791,2.7555,2.7622,,0217f69d-3498-482f-b54e-dbf2438c6851
Pipistrellus pipistrellus,0.792,0.809,2.8455,2.8525,,d865449f-05c0-4cb8-845f-d60a43e192c5
Pipistrellus pipistrellus,0.606,0.617,0.4715,0.4772,,1760025a-fcb2-452b-b0ab-894906f0f5aa
Pipistrellus pipistrellus,0.719,0.726,0.8815,0.887,,216be4b7-d586-4ec7-a12a-bd80e4a5598e
Pipistrellus pipistrellus,0.708,0.718,1.0345,1.0401,,2b6854d8-61ba-4f64-9793-5d1bdbd21f73
Pipistrellus pipistrellus,0.722,0.733,1.1175,1.1235,,860d622e-8330-4566-a471-7a39091e83de
Pipistrellus pipistrellus,0.69,0.696,1.2035,1.2088,,5dd5e139-7e45-46c7-8e87-04a4b8f322e2
Pipistrellus pipistrellus,0.707,0.737,1.2915,1.2968,,465d1575-2d44-4af2-8d80-2bc370599711
Pipistrellus pipistrellus,0.711,0.716,1.4715,1.4769,,3f42f44c-b3f4-41ba-b7f8-bb42d94dc4ae
Pipistrellus pipistrellus,0.761,0.774,1.6485,1.6539,,0ff4cb3f-4ae2-4359-bf2b-c76511d4cab0
Pipistrellus pipistrellus,0.608,0.615,1.7375,1.7436,,9ff03895-7839-4587-8593-233ff4f18015
Pipistrellus pipistrellus,0.676,0.692,1.8355,1.841,,2631558f-4948-4595-859b-0911a750bb1e
