Pipistrellus pipistrellus,0.722,0.734,1.8695,1.8754,,8ef3524b-0585-4e60-85f4-04b657dda4d3
Pipistrellus pipistrellus,0.704,0.733,1.9425,1.9487,,4b2140f5-aa42-4211-8ad9-eba4b7793f94
Pipistrellus pipistrellus,0.71,0.715,1.9975,2.0028,,26267505-795e-418d-9a5e-1b7a40d02dc5
Pipistrellus pipistrellus,0.644,0.653,2.0425,2.0484,,afee8783-9577-498e-9ff3-28c3b4d4622f
Pipistrellus pipistrellus,0.564,0.568,2.2845,2.2904,,61e0b1c1-cce1-45ce-a656-6975a33601a7
Pipistrellus pipistrellus,0.796,0.807,2.3445,2.3518,,89fdd0d5-fc4c-422a-be47-eb8317f38eba
Pipistrellus pipistrellus,0.805,0.828,2.4705,2.4782,,7c14e8b1-fa6b-47cf-a65f-ca88ae93097d
Pipistrellus pipistrellus,0.716,0.782,2.5395,2.5468,,01f791ca-47ce-4e0e-9285-8dfb393ad0d4
Pipistrellus pipistrellus,0.808,0.82,2.6015,2.6072,,4402bcc7-724f-437c-bbcc-2f2860dfb32d
Pipistrellus pipistrellus,0.746,0.76,2.6545,2.6601,,dd64c661-b6d1-4769-ab11-43b9e67e457a
Pipistrellus pipistrellus,0.76,0.779,2.6965,2.702,,56ffbd23-db82-480d-9600-9733b298cb21
Pipistrellus pipistrellus,0.702,0.709,2.7345,2.7398,,1708ee51-110c-42fa-b35a-c56c4a064872
Pipistrellus pipistrellus,0.705,0.72,2.7695,2.7753,,e92a4530-8780-4889-9041-7fb717be2b9b
Pipistrellus pipistrellus,0.728,0.731,2.8095,2.8148,,b47eaa5c-af25-4e27-95b5-fdeb0a2059c7
Barbastellus barbastellus,0.483,0.55,2.2875,2.2921,,7a3475d8-3abd-4216-abdb-7b06f51b9a54
Barbastellus barbastellus,0.524,0.6,2.5915,2.5955,,a6dcda27-a7ed-476f-9cd8-d2bdc77b93a3
Barbastellus barbastellus,0.38,0.516,2.7005,2.7063,,d6243f20-fb35-46f6-83bc-fcc28ee0a92b
Nyctalus leisleri,0.298,0.527,2.9095,2.9237,,95fe6760-ac70-4870-9a7f-bf819667a92d
Pipistrellus pygmaeus,0.65,0.654,0.1225,0.1284,,973ee7ca-d913-41e8-830d-9e3fa12f6335
Pipistrellus pygmaeus,0.757,0.758,0.2075,0.214,,96c3481f-09f4-4373-9e52-52497cd415b4
Pipistrellus pygmaeus,0.73,0.736,0.2875,0.2941,,8f4b7276-32b1-4b4e-9a23-0569a5479f7f
Pipistrellus pygmaeus,0.609,0.61,0.3705,0.3774,,8f821204-e887-4744-a229-99d0df992940
Pipistrellus pygmaeus,0.754,0.758,0.4585,0.466,,74eb4ef3-413e-40f9-ab80-602217fb8d9d
Pipistrellus pygmaeus,0.499,0.502,0.5655,0.5728,,d212751e-217d-444d-93fd-ef85f27b9790
Pipistrellus pygmaeus,0.785,0.787,0.7345,0.7409,,709faceb-b24f-4db4-a9ed-c23d5e73162b
Pipistrellus pygmaeus,0.688,0.693,0.8165,0.8224,,b09a0e52-a38a-409d-84e7-3e1db3c28f0a
Pipistrellus pygmaeus,0.776,0.78,0.9065,0.9133,,971082fe-67b8-45db-b744-5b22db188165
Pipistrellus pygmaeus,0.767,0.77,0.9625,0.9685,,ac6eba86-9cb6-4685-bb15-322d7fa0e146
Pipistrellus pygmaeus,0.732,0.736,1.0085,1.0148,,88ecc03d-eab3-4cfc-9081-8332ad10f290
Pipistrellus pygmaeus,0.721,0.728,1.0545,1.0605,,ef00a1a4-255f-4d7c-a75d-f989621500da
